Detected m/z (primary)	RT Start	RT Apex	RT End	Charge States	Per-Charge Detected m/z	Num Charge States	Primary Charge	Monoisotopic Mass	Mono m/z (primary)	Summed Intensity	Cross-Charge Support	Num Members
349.16159	24.0783	24.1522	24.1522	1	z1:349.1616	1	1	348.15431	349.16159	1.4550e5	1	1
401.21402	24.0440	24.0440	24.0783	1	z1:401.2140	1	1	400.20674	401.21402	1.4542e5	1	1
303.14725	24.0783	24.1522	24.1522	2	z2:303.1472	1	2	602.27323	302.14389	1.4514e5	1	1
414.20776	24.0440	24.0440	24.0783	2	z2:414.2078	1	2	824.39426	413.20441	1.4505e5	1	1
1446.06909	24.1215	24.1215	24.1522	1	z1:1446.0691	1	1	1441.04840	1442.05567	1.4497e5	1	1
390.98083	24.7837	24.7837	24.8227	2	z2:390.9808	1	2	777.94041	389.97748	1.4464e5	1	1
368.67722	24.5127	24.5127	24.5637	4	z4:368.6772	1	4	1468.67305	368.17554	1.4450e5	1	1
793.34283	24.6553	24.6553	24.7448	2	z2:793.3428	1	2	1580.65770	791.33612	1.4258e5	1	1
398.16769	24.0783	24.1215	24.1215	2	z2:398.1677	1	2	792.31413	397.16434	1.4233e5	1	1
569.33881	24.4808	24.5127	24.5127	1	z1:569.3388	1	1	566.32482	567.33210	1.4216e5	1	1
421.66800	24.3087	24.3087	24.3432	1	z1:421.6680	1	1	420.66072	421.66800	1.4185e5	1	1
1100.08484	24.1867	24.1867	24.2253	1	z1:1100.0848	1	1	1097.07085	1098.07813	1.4031e5	1	1
1388.48645	24.3780	24.4332	24.4332	3	z3:1388.4865	1	3	4149.39391	1384.13858	1.3994e5	1	1
1497.10132	24.3432	24.3432	24.3780	2	z2:1497.1013	1	2	2983.15789	1492.58622	1.3967e5	1	1
567.25037	24.0440	24.0440	24.1215	4	z4:567.2504	1	4	2260.95894	566.24701	1.3907e5	1	1
828.33270	24.8227	24.8227	24.8730	1	z1:828.3327	1	1	825.31872	826.32599	1.3891e5	1	1
1429.75293	24.0440	24.0440	24.0783	1	z1:1429.7529	1	1	1424.73223	1425.73951	1.3851e5	1	1
590.77020	24.7448	24.7448	24.8227	2	z2:590.7702	1	2	1177.51914	589.76685	1.3794e5	1	1
1174.56824	24.0440	24.0783	24.0783	2	z2:1174.5682	1	2	2341.10179	1171.55817	1.3738e5	1	1
327.66656	24.2253	24.2738	24.2738	1	z1:327.6666	1	1	326.65929	327.66656	1.3666e5	1	1
1386.67017	24.9363	24.9363	24.9632	2	z2:1386.6702	1	2	2762.29559	1382.15507	1.3624e5	1	1
337.16409	24.0783	24.1867	24.1867	1	z1:337.1641	1	1	337.16017	338.16745	1.3621e5	1	1
729.34698	24.1215	24.1215	24.1522	5	z5:729.3470	1	5	3627.65157	726.53759	1.3542e5	1	1
483.74197	24.5637	24.6205	24.6205	4	z4:483.7420	1	4	1926.92537	482.73862	1.3540e5	1	1
1270.17651	24.0440	24.0440	24.0783	2	z2:1270.1765	1	2	2532.31835	1267.16645	1.3529e5	1	1
462.21921	24.0783	24.1215	24.1215	2	z2:462.2192	1	2	920.41715	461.21585	1.3271e5	1	1
352.18488	24.3780	24.4332	24.4332	6	z6:352.1849	1	6	2099.03876	350.84707	1.3208e5	1	1
355.20334	24.9125	24.9125	24.9363	4	z4:355.2033	1	4	1412.77083	354.19998	1.3194e5	1	1
650.28961	24.1867	24.2253	24.2253	1	z1:650.2896	1	1	647.27563	648.28290	1.3193e5	1	1
